<details> <summary> <b>luci-theme-aurora new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/eamonxg/luci-theme-aurora/compare/7f0ef4669e3c17f1f1cd60fe63292ebb1b062d30...5d72aff81dba149b2ff4721fe9900a40e12a8f20)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
5d72aff|eamonxg|Sun Jul 26 00:19:47 2026 +0800|perf: optimize raw theme assets
f6d6b41|Eamon|Sat Jul 25 17:44:55 2026 +0800|feat: in-mock navigation, one-key capture and hardening for /mocks/
9f0006e|Eamon|Sat Jul 25 02:14:21 2026 +0800|feat: add a dev mock-pages workflow for third-party app pages
7066351|shiraneko|Sat Jul 25 02:15:34 2026 +0800|fix: add CSS patches for luci-app-qmodem admin pages (#92)
67d0d63|Eamon|Thu Jul 23 21:31:15 2026 +0800|docs: add the eamonxg package feed as an install method
96054be|Eamon|Thu Jul 23 20:16:19 2026 +0800|chore: untrack local superpowers spec doc
c096d63|Eamon|Thu Jul 23 16:57:44 2026 +0800|ci: emit the missing-token annotation on stdout
ed08cb0|Eamon|Thu Jul 23 16:56:14 2026 +0800|ci: fail the release when the feed is never notified
b2d83a7|Eamon|Thu Jul 23 14:53:52 2026 +0800|docs: specify Aurora release poster
7ab8b09|Eamon|Thu Jul 23 12:54:45 2026 +0800|ci: dispatch openwrt-feed rebuild on tag release
</details>
