<details> <summary> <b>immortalwrt new commit log :rocket: </b> </summary>

SHA|Author|Date|Message
-|-|-|-
2b2f8a1c6f|Tianling Shen|Sun Mar 29 19:37:33 2026 +0800|Merge Official Source
b2685cef6a|Hannu Nyman|Fri Mar 27 16:47:39 2026 +0200|apk: add help text for 'apk add --force-reinstall'
396fe239a8|Eric Fahlgren|Fri Mar 27 16:46:56 2026 +0200|apk: point help message to openwrt wiki
211df89596|Hauke Mehrtens|Thu Mar 26 14:35:28 2026 +0100|OpenWrt v25.12.2: revert to branch defaults
d266501ad6|Hauke Mehrtens|Thu Mar 26 14:35:15 2026 +0100|OpenWrt v25.12.2: adjust config defaults
f505120278|Anthony Sepa|Tue Mar 24 19:06:30 2026 -0300|ipq40xx: fix art partition name WHW03 V1
c036738b09|Kenneth Kasilag|Mon Mar 16 09:25:53 2026 +0000|airoha: rename kmod-pwm-an7581 to kmod-pwm-airoha
13fd9a9ce0|Eicke Herbertz|Sat Feb 21 17:35:54 2026 +0100|ath79: remove kmod-ath9k and wpad from Mikrotik RB750r2
b4013ec79a|Felix Baumann|Wed Aug 27 17:44:19 2025 +0200|mediatek: add the aquantia kmod to bpi-r4
</details>
