<details> <summary> <b>lede new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/coolsnowwolf/lede/compare/d523e3ffee8481d2b12ccb2ded4a3176629fb8fd...eac875c7827a81c17fbde45bd52349f779195c29)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
eac875c78|coolsnowwolf|Thu Sep 10 20:40:35 2026 +0800|qca-nss-dp: fix hardware STP state synchronization
a3ee4faff|coolsnowwolf|Thu Sep 10 19:50:00 2026 +0800|shortcut-fe: fix IPv6 feature define
00b1106cd|coolsnowwolf|Thu Sep 10 14:20:47 2026 +0800|rockchip: fix H68K Ethernet PHY reset
a4d730942|coolsnowwolf|Thu Sep 10 11:52:10 2026 +0800|shortcut-fe: fix Linux 6.18 API compatibility
b936a1293|coolsnowwolf|Thu Sep 10 03:12:40 2026 +0800|rockchip: add WXY OEC / OECT support
c6b59cab3|coolsnowwolf|Tue Sep 8 23:54:11 2026 +0800|kernel: fix dummy netdev initialization on 6.18
d1ab56eb7|coolsnowwolf|Tue Sep 8 11:09:17 2026 +0800|armsr: switch to Linux 6.18
6e4b0d326|coolsnowwolf|Tue Sep 8 11:02:13 2026 +0800|kernel: fix UDP tunnel module selection on Linux 6.6
eb1a9cfc4|coolsnowwolf|Tue Sep 8 10:38:46 2026 +0800|kernel: package split Realtek HDA codecs on Linux 6.18
376d11dc9|coolsnowwolf|Tue Sep 8 10:22:21 2026 +0800|wireguard-tools: revert to 1.0.20250521
3b2ce46ad|coolsnowwolf|Tue Sep 8 10:11:17 2026 +0800|kernel: restore crypto acceleration modules on x86 6.6
</details>
