<details> <summary> <b>packages new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/coolsnowwolf/packages/compare/52082da251e709d662dd51f8cf538193ca5fdb33...808d968e6f3361809289d10b8bc4ae97b79cf820)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
808d968e|coolsnowwolf|Mon Sep 7 18:31:24 2026 +0800|ovpn-dco: fix build on Linux 6.18.40+
ef485bae|coolsnowwolf|Mon Sep 7 18:03:33 2026 +0800|node: add Node.js 24.x and 26.x support
42c4e4a0|coolsnowwolf|Mon Sep 7 12:24:30 2026 +0800|Merge pull request #1140 from Internet1235/uu
a6e3babc|coolsnowwolf|Fri Mar 6 13:23:25 2026 +0800|cshark: add CloudShark capture tool
8d6d1778|coolsnowwolf|Thu Mar 5 12:38:26 2026 +0800|ddns-scripts: add Tencent Cloud DNSPod API
b4de3597|Internet1235|Sat Sep 5 19:13:48 2026 +0800|uugamebooster: update to 14.6.24
a9e08616|coolsnowwolf|Sun Sep 6 10:37:48 2026 +0800|qbittorrent: restore procd service support
c6db233e|coolsnowwolf|Sun Sep 6 10:12:15 2026 +0800|Merge pull request #1138 from Internet1235/rust
39bdfc63|coolsnowwolf|Sun Sep 6 07:50:26 2026 +0800|bandwidthd: use libgd-full for sqlite variant
50d3d789|coolsnowwolf|Sun Sep 6 06:45:36 2026 +0800|transmission: use public_html web UI path
e0786416|coolsnowwolf|Sun Sep 6 06:44:56 2026 +0800|transmission-web-control: update to 2021 snapshot
356fc788|coolsnowwolf|Sun Sep 6 04:10:25 2026 +0800|xfrpc: update to 5.06.909
3596a1df|coolsnowwolf|Sun Sep 6 03:05:45 2026 +0800|snort3: update to 3.12.2.0
94e818ef|coolsnowwolf|Sun Sep 6 02:56:33 2026 +0800|unixodbc: run autoreconf before building
16108e46|coolsnowwolf|Sun Sep 6 02:53:45 2026 +0800|dawn: update to latest upstream release


</details>
