<details> <summary> <b>openwrt new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/openwrt/openwrt/compare/6c40bc0bb0e78c67a1f7d8e6d4b048e78951b932...57d732596479fd7064dedc8753b59634687b740e)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
57d7325964|Luiz Angelo Daros de Luca|Wed Sep 9 15:16:11 2026 -0300|realtek: fix D-Link DGS-1210-28P/MP fan controller
67b18c1ecc|Semih Baskan|Sun Aug 2 09:54:44 2026 +0300|bcm53xx: fix sysupgrade losing config on NAND devices
84484e5198|Gary Dotzler|Wed Sep 9 21:14:45 2026 +0000|kernel: fix mt7915e boot crash
7722054025|Shiji Yang|Wed Sep 2 23:33:49 2026 +0800|kernel: bump 6.12 to 6.12.108
77bc87827e|Shiji Yang|Thu Aug 27 21:39:12 2026 +0800|kernel: bump 6.12 to 6.12.107
79c9abd555|Shiji Yang|Mon Aug 24 09:56:30 2026 +0800|kernel: bump 6.12 to 6.12.105
3aa25ca731|Shiji Yang|Thu Aug 20 20:16:52 2026 +0800|kernel: bump 6.12 to 6.12.104
13968d9b59|Rosen Penev|Sat Feb 7 15:58:32 2026 -0800|ramips: mtk_eth_soc: handle EPROBE_DEFER for MAC
c588728777|Hauke Mehrtens|Thu Aug 27 02:26:51 2026 +0200|octeon: handle EPROBE_DEFER when reading MAC addresses
baa9c9a137|Hauke Mehrtens|Thu Aug 27 02:26:51 2026 +0200|kernel: mvneta: handle EPROBE_DEFER when reading the MAC address
813d0faa04|Hauke Mehrtens|Thu Aug 27 02:26:51 2026 +0200|kernel: dsa: handle EPROBE_DEFER when reading port MAC addresses
93ddab6e2b|Hauke Mehrtens|Sat Aug 22 20:12:31 2026 +0200|bmips: enet: handle EPROBE_DEFER for the MAC address
c2864bc780|Ahmed Naseef|Mon Apr 6 14:19:15 2026 +0400|mediatek: add support for Airtel AirFiber AAP4221ZY
</details>
